frame,ID,X,Y,Class,Color,Position,X_court,Y_court,is_outlier,X_court_clamped,Y_court_clamped,court_zone,court_side,dist_to_near_baseline,dist_to_far_baseline,dist_to_net,dist_to_left_sideline,dist_to_right_sideline,dist_to_center
1,0,656,351,Ball,blue,Ball,6.7633176,14.321107,False,6.7633176,14.321107,Far Court,Right,14.321107,9.448894,2.4361067,6.7633176,4.2066827,1.2783175
2,0,640,384,Ball,blue,Ball,6.5567813,15.841115,False,6.5567813,15.841115,Far Court,Right,15.841115,7.9288855,3.9561148,6.5567813,4.413219,1.0717812
3,1,650,210,Player,red,Defense,6.6169496,4.677527,False,6.6169496,4.677527,Near Service Box,Right,4.677527,19.092474,7.2074733,6.6169496,4.3530507,1.1319494
3,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
3,3,888,646,Player,red,Defense,8.719935,24.337692,False,8.719935,24.337692,Out of Bounds,Right,24.337692,0.5676918,12.452692,8.719935,2.2500648,3.2349353
3,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
3,5,1189,282,Player,red,Defense,12.515055,14.424509,False,12.515055,14.424509,Far Court,Right,14.424509,9.345491,2.5395088,12.515055,1.5450544,7.0300546
3,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
3,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
3,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
3,10,850,67,Player,red,Defense,10.733907,-5.656395,True,10.733907,-2.0,Near Service Box,Right,5.656395,29.426395,17.541395,10.733907,0.23609352,5.2489066
3,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
3,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
3,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
3,15,175,123,Player,red,Defense,-19.934206,-45.474487,True,-2.0,-2.0,Near Service Box,Left,45.474487,69.24449,57.35949,19.934206,30.904205,25.419207
3,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
3,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
3,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
4,1,645,210,Player,red,Defense,6.5240192,4.58347,False,6.5240192,4.58347,Near Service Box,Right,4.58347,19.186531,7.3015304,6.5240192,4.445981,1.0390191
4,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
4,3,894,646,Player,red,Defense,8.764263,24.33547,False,8.764263,24.33547,Out of Bounds,Right,24.33547,0.56546974,12.45047,8.764263,2.205737,3.279263
4,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
4,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
4,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
4,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
4,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
4,10,850,67,Player,red,Defense,10.733907,-5.656395,True,10.733907,-2.0,Near Service Box,Right,5.656395,29.426395,17.541395,10.733907,0.23609352,5.2489066
4,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
4,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
4,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
4,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
4,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
4,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
4,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
5,1,640,209,Player,red,Defense,6.429139,4.3973002,False,6.429139,4.3973002,Near Service Box,Right,4.3973002,19.3727,7.4877,6.429139,4.540861,0.944139
5,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
5,3,902,646,Player,red,Defense,8.822996,24.332523,False,8.822996,24.332523,Out of Bounds,Right,24.332523,0.5625229,12.447523,8.822996,2.1470041,3.337996
5,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
5,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
5,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
5,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
5,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
5,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
5,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
5,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
5,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
5,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
5,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
5,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
5,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
6,1,636,210,Player,red,Defense,6.3543844,4.4117775,False,6.3543844,4.4117775,Near Service Box,Right,4.4117775,19.358223,7.4732227,6.3543844,4.615616,0.8693843
6,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
6,3,908,645,Player,red,Defense,8.868771,24.309917,False,8.868771,24.309917,Out of Bounds,Right,24.309917,0.539917,12.424917,8.868771,2.1012297,3.3837705
6,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
6,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
6,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
6,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
6,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
6,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
6,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
6,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
6,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
6,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
6,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
6,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
6,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
7,1,634,210,Player,red,Defense,6.316269,4.3732,False,6.316269,4.3732,Near Service Box,Right,4.3732,19.396801,7.5118003,6.316269,4.6537313,0.8312688
7,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
7,3,910,645,Player,red,Defense,8.883324,24.309206,False,8.883324,24.309206,Out of Bounds,Right,24.309206,0.53920555,12.424206,8.883324,2.0866766,3.3983235
7,4,404,160,Player,red,Defense,-0.49995375,-9.445654,True,-0.49995375,-2.0,Near Service Box,Left,9.445654,33.215652,21.330654,0.49995375,11.469954,5.984954
7,5,1189,282,Player,red,Defense,12.515055,14.424509,False,12.515055,14.424509,Far Court,Right,14.424509,9.345491,2.5395088,12.515055,1.5450544,7.0300546
7,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
7,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
7,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
7,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
7,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
7,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
7,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
7,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
7,16,224,121,Player,red,Defense,-14.419364,-37.634777,True,-2.0,-2.0,Near Service Box,Left,37.634777,61.404778,49.519775,14.419364,25.389364,19.904364
7,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
7,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
7,0,938,523,Ball,blue,Ball,9.388005,21.49962,False,9.388005,21.49962,Far Service Box,Right,21.49962,2.27038,9.61462,9.388005,1.581995,3.9030051
8,1,634,211,Player,red,Defense,6.3175464,4.4647665,False,6.3175464,4.4647665,Near Service Box,Right,4.4647665,19.305233,7.4202337,6.3175464,4.652454,0.83254623
8,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
8,3,910,645,Player,red,Defense,8.883324,24.309206,False,8.883324,24.309206,Out of Bounds,Right,24.309206,0.53920555,12.424206,8.883324,2.0866766,3.3983235
8,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
8,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
8,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
8,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
8,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
8,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
8,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
8,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
8,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
8,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
8,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
8,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
8,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
8,0,949,526,Ball,blue,Ball,9.465899,21.58821,False,9.465899,21.58821,Far Service Box,Right,21.58821,2.1817913,9.703209,9.465899,1.5041008,3.9808993
9,1,633,211,Player,red,Defense,6.2984753,4.4455557,False,6.2984753,4.4455557,Near Service Box,Right,4.4455557,19.324444,7.4394445,6.2984753,4.671525,0.81347513
9,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
9,3,914,645,Player,red,Defense,8.912352,24.307785,False,8.912352,24.307785,Out of Bounds,Right,24.307785,0.5377846,12.422785,8.912352,2.0576487,3.4273515
9,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
9,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
9,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
9,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
9,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
9,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
9,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
9,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
9,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
9,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
9,16,225,121,Player,red,Defense,-14.315121,-37.47399,True,-2.0,-2.0,Near Service Box,Left,37.47399,61.24399,49.358994,14.315121,25.285122,19.800121
9,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
9,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
9,0,959,531,Ball,blue,Ball,9.52885,21.725176,False,9.52885,21.725176,Far Service Box,Right,21.725176,2.0448246,9.840176,9.52885,1.4411507,4.0438495
10,1,632,210,Player,red,Defense,6.277999,4.334466,False,6.277999,4.334466,Near Service Box,Right,4.334466,19.435535,7.5505342,6.277999,4.6920013,0.7929988
10,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
10,3,916,646,Player,red,Defense,8.924778,24.32742,False,8.924778,24.32742,Out of Bounds,Right,24.32742,0.5574188,12.442419,8.924778,2.0452223,3.4397779
10,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
10,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
10,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
10,7,52,148,Player,red,Defense,-35.00388,-58.156208,True,-2.0,-2.0,Near Service Box,Left,58.156208,81.92621,70.04121,35.00388,45.97388,40.48888
10,8,558,66,Player,red,Defense,3.5675747,-20.303751,True,3.5675747,-2.0,Near Service Box,Left,20.303751,44.073753,32.18875,3.5675747,7.402426,1.9174254
10,10,849,67,Player,red,Defense,10.717487,-5.689447,True,10.717487,-2.0,Near Service Box,Right,5.689447,29.459448,17.574448,10.717487,0.25251293,5.232487
10,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
10,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
10,14,1133,116,Player,red,Defense,13.61117,5.162251,True,12.97,5.162251,Near Service Box,Right,5.162251,18.60775,6.722749,13.61117,2.6411695,8.126169
10,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
10,16,224,121,Player,red,Defense,-14.419364,-37.634777,True,-2.0,-2.0,Near Service Box,Left,37.634777,61.404778,49.519775,14.419364,25.389364,19.904364
10,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
10,69,285,122,Player,red,Defense,-8.846458,-28.787209,True,-2.0,-2.0,Near Service Box,Left,28.787209,52.55721,40.67221,8.846458,19.81646,14.331459
10,0,970,537,Ball,blue,Ball,9.595108,21.885025,False,9.595108,21.885025,Far Service Box,Right,21.885025,1.8849754,10.000025,9.595108,1.3748922,4.110108
11,1,862,210,Player,red,Defense,9.855263,7.9551077,False,9.855263,7.9551077,Near Court,Right,7.9551077,15.814893,3.9298925,9.855263,1.1147375,4.3702626
11,2,112,363,Player,red,Defense,-5.5799356,9.184729,True,-2.0,9.184729,Near Court,Left,9.184729,14.585272,2.7002716,5.5799356,16.549936,11.064936
11,3,626,579,Player,red,Defense,6.4906664,22.76554,False,6.4906664,22.76554,Far Service Box,Right,22.76554,1.0044613,10.880539,6.4906664,4.479334,1.0056663
11,4,405,160,Player,red,Defense,-0.46027467,-9.39482,True,-0.46027467,-2.0,Near Service Box,Left,9.39482,33.16482,21.27982,0.46027467,11.430275,5.945275
11,5,1189,281,Player,red,Defense,12.522513,14.384523,False,12.522513,14.384523,Far Court,Right,14.384523,9.385477,2.4995232,12.522513,1.5525131,7.0375133
11,6,970,164,Player,red,Defense,11.465985,6.21397,False,11.465985,6.21397,Near Service Box,Right,6.21397,17.55603,5.67103,11.465985,0.49598503,5.980985
11,7,51,148,Player,red,Defense,-35.22927,-58.461826,True,-2.0,-2.0,Near Service Box,Left,58.461826,82.23183,70.346825,35.22927,46.199272,40.71427
11,8,557,65,Player,red,Defense,3.517866,-20.628641,True,3.517866,-2.0,Near Service Box,Left,20.628641,44.398643,32.51364,3.517866,7.452134,1.9671342
11,10,850,67,Player,red,Defense,10.733907,-5.656395,True,10.733907,-2.0,Near Service Box,Right,5.656395,29.426395,17.541395,10.733907,0.23609352,5.2489066
11,11,22,156,Player,red,Defense,-39.104286,-60.475254,True,-2.0,-2.0,Near Service Box,Left,60.475254,84.245255,72.36025,39.104286,50.074287,44.589287
11,12,1269,147,Player,red,Defense,14.358547,8.70719,True,12.97,8.70719,Near Court,Right,8.70719,15.062811,3.1778107,14.358547,3.388547,8.873547
11,13,326,123,Player,red,Defense,-5.8980384,-24.032478,True,-2.0,-2.0,Near Service Box,Left,24.032478,47.80248,35.91748,5.8980384,16.868038,11.3830385
11,15,174,123,Player,red,Defense,-20.069489,-45.68115,True,-2.0,-2.0,Near Service Box,Left,45.68115,69.45115,57.566147,20.069489,31.03949,25.55449
11,16,226,121,Player,red,Defense,-14.211424,-37.314053,True,-2.0,-2.0,Near Service Box,Left,37.314053,61.084053,49.19905,14.211424,25.181423,19.696424
11,63,1182,386,Player,red,Defense,11.785541,18.056068,False,11.785541,18.056068,Far Service Box,Right,18.056068,5.713932,6.171068,11.785541,0.8155403,6.3005404
